state,average_overall_rating,rated_hospital_count
UT,4.24,29
CO,3.96,49
SD,3.89,18
WI,3.78,86
MN,3.77,57
VA,3.68,76
OH,3.58,128
RI,3.55,11
ID,3.55,22
NE,3.5,36
PA,3.48,132
SC,3.43,49
CT,3.42,26
TX,3.38,217
WY,3.38,16
IN,3.36,91
MD,3.31,42
NC,3.3,90
OK,3.29,62
ND,3.25,16
MT,3.25,20
OR,3.25,44
VT,3.25,12
IA,3.24,62
WA,3.23,60
ME,3.21,24
MA,3.2,54
HI,3.18,11
KS,3.18,55
NH,3.17,23
NJ,3.15,61
DE,3.14,7
MO,3.14,80
AZ,3.11,55
CA,3.1,280
MI,3.09,94
TN,3.08,72
FL,3.07,169
IL,3.03,136
NV,3.0,25
GA,2.94,84
AK,2.9,10
DC,2.86,7
AR,2.84,44
LA,2.81,59
NY,2.77,136
WV,2.76,34
KY,2.76,67
AL,2.71,59
NM,2.48,23
MS,2.33,52
GU,2.0,1
PR,1.71,7
VI,1.5,2
