column,missing_count,missing_percentage
te_group_footnote,4422,81.41
readm_group_footnote,4208,77.47
mort_group_footnote,4032,74.23
pt_exp_group_footnote,3414,62.85
safety_group_footnote,3280,60.38
meets_criteria_for_birthing_friendly_designation,3169,58.34
hospital_overall_rating_footnote,3111,57.27
hospital_overall_rating,2250,41.42
count_of_facility_safety_measures,2078,38.25
count_of_safety_measures_worse,2078,38.25
count_of_safety_measures_better,2078,38.25
count_of_safety_measures_no_different,2078,38.25
count_of_facility_pt_exp_measures,1957,36.03
count_of_facility_mort_measures,1327,24.43
count_of_mort_measures_no_different,1327,24.43
count_of_mort_measures_worse,1327,24.43
count_of_mort_measures_better,1327,24.43
count_of_readm_measures_worse,1156,21.28
count_of_facility_readm_measures,1156,21.28
count_of_readm_measures_no_different,1156,21.28
count_of_readm_measures_better,1156,21.28
count_of_facility_te_measures,921,16.96
pt_exp_group_measure_count,854,15.72
readm_group_measure_count,854,15.72
te_group_measure_count,854,15.72
safety_group_measure_count,854,15.72
mort_group_measure_count,854,15.72
facility_id,0,0.0
facility_name,0,0.0
address,0,0.0
zip_code,0,0.0
state,0,0.0
city_town,0,0.0
hospital_ownership,0,0.0
emergency_services,0,0.0
hospital_type,0,0.0
telephone_number,0,0.0
county_parish,0,0.0
